City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
483,kas,36.2018,29.6377,14.64,77,29,2.4,TR,1702313497
484,de aar,-30.6497,24.0123,23.25,36,93,5.01,ZA,1702313497
485,chauk,20.8833,94.8167,22.63,71,26,2.39,MM,1702313497
486,almus,40.3758,36.9044,9.26,83,100,1.57,TR,1702313497
487,kentwood,42.8695,-85.6448,1.21,78,100,2.57,US,1702313497
488,barcelos,41.5388,-8.6151,17.08,88,100,3.61,PT,1702313293
489,mount pearl,47.5166,-52.7813,10.18,95,100,9.77,CA,1702313497
490,el colomo,19.05,-104.25,30.8,45,77,1.82,MX,1702313498
491,varna,43.2167,27.9167,5.24,87,20,2.57,BG,1702313377
492,paracuru,-3.41,-39.0306,28.95,54,60,6.82,BR,1702313498
493,paciran,-6.8767,112.3761,26.25,79,95,3.42,ID,1702313498
494,kavaratti,10.5669,72.642,28.8,70,64,0.7,IN,1702313412
495,st. paul,44.9444,-93.0933,-3.63,88,100,3.6,US,1702313498
496,callao,-12.0667,-77.15,23.16,68,0,2.57,PE,1702313498
497,mata-utu,-13.2816,-176.1745,27.52,79,100,5.3,WF,1702313499
498,suntar,62.1444,117.6319,-28.27,96,100,2.65,RU,1702313499
499,turpan,42.9333,89.1667,0.65,61,72,0.17,CN,1702313499
500,nishon tumani,38.694,65.6751,5.14,93,20,4.12,UZ,1702313499
501,meulaboh,4.1363,96.1285,25.27,90,100,1.59,ID,1702313499
502,buka,40.8108,69.1986,0.21,97,100,3.66,UZ,1702313500
503,viveiro,43.6623,-7.5934,17.91,81,100,6.32,ES,1702313500
504,faya-largeau,17.9257,19.1043,21.37,27,0,5.97,TD,1702313500
505,adam,22.3756,57.5233,22.06,30,13,1.66,OM,1702313500
506,marang,5.2056,103.2059,27.95,88,88,1.69,MY,1702313500
507,callaway,30.153,-85.5699,13.87,59,0,3.6,US,1702313501
508,valparaiso,-33.0393,-71.6273,20.56,71,100,2.57,CL,1702313445
509,suva,-18.1416,178.4415,20.71,94,75,3.43,FJ,1702313501
510,igarka,67.4667,86.5833,-24.03,99,100,3.81,RU,1702313501
511,gornyak,50.9942,81.4661,-21.95,95,100,4.92,RU,1702313501
512,el granada,37.5027,-122.4694,13.26,80,0,2.06,US,1702313501
513,cestos city,5.46,-9.5828,28.2,72,29,4.11,LR,1702313501
514,emerald,-23.5333,148.1667,23.52,67,100,5.9,AU,1702313502
515,tchintabaraden,15.8969,5.7985,23.68,20,1,5.51,NE,1702313502
516,sao felix do xingu,-6.6447,-51.995,29.73,71,93,1.97,BR,1702313502
517,la ligua,-32.4524,-71.2311,22.97,51,40,4.79,CL,1702313502
518,vila velha,-20.3297,-40.2925,29.97,78,75,6.69,BR,1702313502
519,armacao de buzios,-22.7469,-41.8817,28.03,82,100,4.63,BR,1702313503
520,terrace,54.5163,-128.6035,-0.44,100,100,1.03,CA,1702313503
521,ramon castilla,-4.2569,-69.9594,24.14,94,75,1.03,PE,1702313503
522,yorkton,51.2167,-102.4677,-4.09,63,20,9.26,CA,1702313503
523,lamu,-2.2717,40.902,27.12,86,68,4.58,KE,1702313503
524,geraldton,-28.7667,114.6,16.23,82,0,2.57,AU,1702313503
525,bafoulabe,13.8065,-10.8321,35.33,8,40,2.11,ML,1702313503
526,stonehaven,56.9637,-2.2118,5.29,98,100,5.38,GB,1702313503
527,antsiranana,-12.2787,49.2917,26.48,82,26,5.62,MG,1702313504
528,castillos,-34.1667,-53.8333,23.42,60,11,5.44,UY,1702313504
529,kailua-kona,19.6406,-155.9956,25.33,82,20,2.57,US,1702313278
530,jwaneng,-24.6004,24.7303,28.46,20,100,4.39,BW,1702313504
531,pemangkat,1.1667,108.9667,25.47,87,100,1.75,ID,1702313504
532,nguigmi,14.2495,13.1092,22.64,24,0,5.19,NE,1702313504
533,santa cruz,-17.8,-63.1667,31.03,58,40,2.57,BO,1702313470
534,jutai,-5.1833,-68.9,31.62,72,89,1.13,BR,1702313505
535,alesund,62.4723,6.1549,0.97,84,0,3.6,NO,1702313501
536,baciu,46.8,23.5167,1.68,87,0,3.09,RO,1702313505
537,fort mcmurray,56.7268,-111.381,-12.23,66,0,5.14,CA,1702313500
538,mar del plata,-38.0023,-57.5575,29.35,74,40,11.62,AR,1702313164
539,palmer,42.1584,-72.3287,5.74,78,100,3.09,US,1702313377
540,nelson bay,-32.7167,152.15,21.67,95,1,4.92,AU,1702313505
541,willis,30.4249,-95.4799,14.55,48,0,2.06,US,1702313215
542,kapit,2.0167,112.9333,23.03,99,85,0.27,MY,1702313505
543,saint-pierre,-21.3393,55.4781,25.82,73,0,6.69,RE,1702313506
544,tefe,-3.3542,-64.7114,27.06,89,75,3.09,BR,1702313479
545,kwolla,8.9333,9.2833,29.56,18,8,3.52,NG,1702313506
546,dezhou,37.4486,116.2925,-2.98,83,100,0.24,CN,1702313506
547,goundam,16.4145,-3.6708,29.81,10,0,4.49,ML,1702313506
548,la passe,45.5549,-0.8967,14.13,97,100,6.51,FR,1702313506
549,yima,34.7381,111.8839,-0.99,99,100,1.26,CN,1702313506
550,thinadhoo,0.5333,72.9333,27.86,77,14,2.51,MV,1702313507
551,ha tinh,18.3333,105.9,22.84,95,29,1.02,VN,1702313507
552,timimoun,29.2639,0.231,22.21,20,0,1.54,DZ,1702313507
553,ribas do rio pardo,-20.4431,-53.7592,36.62,32,13,1.0,BR,1702313507
554,siverskiy,59.3544,30.0783,-5.8,96,100,3.33,RU,1702313507
555,yilan,24.757,121.753,25.01,97,11,1.38,TW,1702313507
556,mbamba bay,-11.2833,34.7667,27.66,70,96,3.72,TZ,1702313507
557,el alto,-4.2714,-81.2147,26.81,67,47,5.87,PE,1702313508
558,benghazi,32.1167,20.0667,18.7,67,64,7.0,LY,1702313508
559,noshiro,40.2039,140.0242,2.62,71,100,2.27,JP,1702313508
560,machico,32.7,-16.7667,24.28,77,20,2.57,PT,1702313508
561,hasaki,35.7333,140.8333,12.38,85,100,3.25,JP,1702313508
562,codrington,-38.2667,141.9667,15.77,90,100,4.46,AU,1702313508
563,pionerskiy,54.9508,20.2275,0.91,89,100,2.87,RU,1702313508
564,ruokolahti,61.2833,28.8333,-7.83,95,100,3.52,FI,1702313508
565,nagqu,31.5,92.0,-16.44,47,1,1.95,CN,1702313509
566,harstad,68.799,16.5293,-1.03,94,84,1.92,NO,1702313509
567,lesnoy,57.6198,63.0784,-34.54,100,7,1.01,RU,1702313509
568,khandud,36.9513,72.318,-4.09,88,100,2.17,AF,1702313509
569,antofagasta,-23.65,-70.4,20.6,66,71,4.46,CL,1702313509
570,sarkand,45.41,79.9186,-7.6,97,100,1.08,KZ,1702313509
571,egilsstadir,65.2653,-14.3948,-4.05,68,0,2.06,IS,1702313509
572,mae ramat,16.984,98.5166,25.44,93,45,0.53,TH,1702313509
573,mana,5.6592,-53.7767,29.39,69,28,4.58,GF,1702313510
